,name,fans_count,US_Total,US percent,last_post_date,id,picture
0,Apple Inc.,9248410,,,2017-12-07T12:58:54+0000,https://www.facebook.com/105596369475033,https://external.xx.fbcdn.net/safe_image.php?d=AQBQhhmaO-Y1dF53&w=50&h=50&url=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2Ff%2Ffa%2FApple_logo_black.svg%2F720px-Apple_logo_black.svg.png&fallback=hub_place&f&_nc_hash=AQBBEbu1sYop7wqF
1,Apple Campus,3950,,,2017-12-07T12:58:54+0000,https://www.facebook.com/142958362381575,https://external.xx.fbcdn.net/safe_image.php?d=AQC9eZ3rY5diZ3wr&w=50&h=50&url=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F84%2FApple_Campus_One_Infinite_Loop_Sign.jpg%2F720px-Apple_Campus_One_Infinite_Loop_Sign.jpg&cfs=1&fallback=hub_likes&f&_nc_hash=AQB499m_Vn0GuZgl
2,Apple,10642847,1723175.0,16.1909214705,2017-12-07T12:58:54+0000,https://www.facebook.com/434174436675167,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/13775446_1098966590195945_9090960569811094730_n.jpg?oh=244b3505f53db84d88d9b76cc9ff9be2&oe=5AC4EE0D
3,Apple,1700976,,,2017-12-07T12:58:54+0000,https://www.facebook.com/109941875698549,https://external.xx.fbcdn.net/safe_image.php?d=AQA5O-3hA26IGtAZ&w=50&h=50&url=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F1%2F15%2FRed_Apple.jpg%2F720px-Red_Apple.jpg&cfs=1&fallback=hub_place&f&_nc_hash=AQC6M2b20_Safm3O
4,APPLE TOURS,93920,377.0,0.401405451448,2017-11-28T20:58:22+0000,https://www.facebook.com/872764789418481,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/19959422_1761980527163565_929920881525455526_n.png?oh=53accf8171e596737e0c58638e4c3136&oe=5A90E921
5,ABM (Apple Authorised Distributor),1669212,63045.0,3.77693186965,2017-12-10T07:31:02+0000,https://www.facebook.com/334500153341766,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/11817061_453092411482539_2839924726970082606_n.jpg?oh=52ab3c7214d25e3ce0bae0dccc581a5e&oe=5AC3F5A9
6,iPhone - Apple,5524688,48637.0,0.880357406608,2017-12-11T17:36:43+0000,https://www.facebook.com/321553594704854,https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/14067498_496243190569226_4617727564491904502_n.jpg?oh=6246dbf825aa5d389ca79c7d61ffc865&oe=5AD1EE50
7,i Apple,126571,131.0,0.103499221781,2017-12-11T13:41:47+0000,https://www.facebook.com/315274925280695,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22852938_1015366098604904_507186637810475717_n.png?oh=c6a2c531e0d8275e9ee7838d596a8485&oe=5A9046BA
8,Switch - Apple Premium Reseller,89989,816.0,0.906777495027,2017-12-07T22:49:28+0000,https://www.facebook.com/159343647445530,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/13920961_1144058238974061_6898116247204078510_n.png?oh=7f974947c6840c4bc5fa1f43771e9ae0&oe=5A8C7DE8
9,Green Apple التفاح الأخضر,16680505,110711.0,0.663714917504,2017-12-11T12:30:00+0000,https://www.facebook.com/157809437606661,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/24067908_1507058092681782_1108286607229244115_n.jpg?oh=bd0908c794e5cb01488a01bad5d0b385&oe=5A8FBB84
